Sample_name;Sample_type;Category;Richness; log_pop_sample ;Unity
CS5.A.g1;Soaked_seed;5A;5; 5.60205999132796 ;log(UFC)/sample
CS5.A.g2;Soaked_seed;5A;5; 5.52633927738984 ;log(UFC)/sample
CS5.A.g3;Soaked_seed;5A;5; 5.77815125038364 ;log(UFC)/sample
CS5.A.g4;Soaked_seed;5A;5; 5.67760695272049 ;log(UFC)/sample
CS5.A.g5;Soaked_seed;5A;5; 5.30102999566398 ;log(UFC)/sample
CS5.A.g6;Soaked_seed;5A;5; 8.13353890837022 ;log(UFC)/sample
CS5.A.g7;Soaked_seed;5A;5; 7.85733249643127 ;log(UFC)/sample
CS5.A.g8;Soaked_seed;5A;5; 6.42813479402879 ;log(UFC)/sample
CS5.B.g1;Soaked_seed;5B;5; 7.24551266781415 ;log(UFC)/sample
CS5.B.g2;Soaked_seed;5B;5; 6.45939248775923 ;log(UFC)/sample
CS5.B.g3;Soaked_seed;5B;5; 6.37291200297011 ;log(UFC)/sample
CS5.B.g4;Soaked_seed;5B;5; 6.61066016308988 ;log(UFC)/sample
CS5.B.g5;Soaked_seed;5B;5; 6.98227123303957 ;log(UFC)/sample
CS5.B.g6;Soaked_seed;5B;5; 7.12057393120585 ;log(UFC)/sample
CS5.B.g7;Soaked_seed;5B;5; 6.66275783168157 ;log(UFC)/sample
CS5.B.g8;Soaked_seed;5B;5; 7.03342375548695 ;log(UFC)/sample
CS5.C.g1;Soaked_seed;5C;5; 4.88081359228079 ;log(UFC)/sample
CS5.C.g2;Soaked_seed;5C;5; 4.50514997831991 ;log(UFC)/sample
CS5.C.g3;Soaked_seed;5C;5; 3.60205999132796 ;log(UFC)/sample
CS5.C.g4;Soaked_seed;5C;5; 3.90308998699194 ;log(UFC)/sample
CS5.C.g5;Soaked_seed;5C;5; 4.64345267648619 ;log(UFC)/sample
CS5.C.g6;Soaked_seed;5C;5; 4.7481880270062 ;log(UFC)/sample
CS5.C.g7;Soaked_seed;5C;5; 4.64345267648619 ;log(UFC)/sample
CS5.C.g8;Soaked_seed;5C;5; 5.92427928606188 ;log(UFC)/sample
CS8.A.g1;Soaked_seed;8A;8; 7.01703333929878 ;log(UFC)/sample
CS8.A.g2;Soaked_seed;8A;8; 6.40140054078154 ;log(UFC)/sample
CS8.A.g3;Soaked_seed;8A;8; 6.18184358794477 ;log(UFC)/sample
CS8.A.g4;Soaked_seed;8A;8; 6.92427928606188 ;log(UFC)/sample
CS8.A.g5;Soaked_seed;8A;8; 6.41497334797082 ;log(UFC)/sample
CS8.A.g6;Soaked_seed;8A;8; 6.15836249209525 ;log(UFC)/sample
CS8.A.g7;Soaked_seed;8A;8; 7.26481782300954 ;log(UFC)/sample
CS8.A.g8;Soaked_seed;8A;8; 7.27415784926368 ;log(UFC)/sample
CS8.B.g1;Soaked_seed;8B;8; 5.96378782734556 ;log(UFC)/sample
CS8.B.g2;Soaked_seed;8B;8; 7.12057393120585 ;log(UFC)/sample
CS8.B.g3;Soaked_seed;8B;8; 6.2148438480477 ;log(UFC)/sample
CS8.B.g4;Soaked_seed;8B;8; 6.47712125471966 ;log(UFC)/sample
CS8.B.g5;Soaked_seed;8B;8; 7.65896484266444 ;log(UFC)/sample
CS8.B.g6;Soaked_seed;8B;8; 7.61066016308988 ;log(UFC)/sample
CS8.B.g7;Soaked_seed;8B;8; 7.7160033436348 ;log(UFC)/sample
CS8.B.g8;Soaked_seed;8B;8; 7.68124123737559 ;log(UFC)/sample
CS8.C.g1;Soaked_seed;8C;8; 7.01703333929878 ;log(UFC)/sample
CS8.C.g2;Soaked_seed;8C;8; 7.0 ;log(UFC)/sample
CS8.C.g3;Soaked_seed;8C;8; 7.44715803134222 ;log(UFC)/sample
CS8.C.g4;Soaked_seed;8C;8; 7.44715803134222 ;log(UFC)/sample
