Sample_ID	Env	SourceSink	id
Potting_soil	Soil	Source	
Control_seed	Native seed	Source	
Inoculated_seed_11C	Inoculated seed	Source	
CS11-C-11-16	Seedling	Sink	1
CS11-C-11-18	Seedling	Sink	2
CS11-C-11-19	Seedling	Sink	3
CS11-C-11-26	Seedling	Sink	4
CS11-C-13-31	Seedling	Sink	5
CS11-C-13-40	Seedling	Sink	6
CS11-C-7-1	Seedling	Sink	7
CS11-C-7-3	Seedling	Sink	8
