Sample_ID	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_5A_Inoculated seed	Unknown
CS5-A-10-31_Seedling	0.000859411	0.02514753	0.72273552	0.251257539
CS5-A-10-33_Seedling	0.034374204	0.008814646	0.342355946	0.614455204
CS5-A-10-35_Seedling	0.002145259	0.035704267	0.695854595	0.266295879
CS5-A-12-22_Seedling	0.004170159	0.018597195	0.290325188	0.686907459
CS5-A-12-29_Seedling	0.022693241	0.017264816	0.470126674	0.48991527
CS5-A-3-15_Seedling	0.073221013	0.006035425	0.163573678	0.757169884
CS5-A-3-17_Seedling	0.13067923	0.066077102	0.195133657	0.608110011
CS5-A-9-6_Seedling	0.349602431	0.041298427	0.271096272	0.33800287
