	Potting_soil_Soil	Control_seed_Native seed	Unknown
CS0-10-21_Seedling	0.010459529	0.063143257	0.926397214
CS0-10-25_Seedling	0.03413965	0.066349837	0.899510512
CS0-11-31_Seedling	0.210491015	0.035295897	0.754213088
CS0-11-40_Seedling	0.048214871	0.066833616	0.884951513
CS0-6-1_Seedling	0.041798313	0.052302714	0.905898974
CS0-6-2_Seedling	0.056246167	0.037781624	0.905972209
CS0-6-9_Seedling	0.013974144	0.107243495	0.878782361
CS0-7-14_Seedling	0.305766417	0.044088756	0.650144827
