	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_11A_Inoculated seed	Unknown
CS11-A-3-1_Seedling	0.033915449	0.001485742	0.701117295	0.263481515
CS11-A-3-6_Seedling	0.011297377	0.004835086	0.37159197	0.612275567
CS11-A-5-11_Seedling	0.002310981	0.080415938	0.813991365	0.103281716
CS11-A-5-19_Seedling	0.016714268	0.287335779	0.410592777	0.285357176
CS11-A-6-37_Seedling	0.001388917	0.002845204	0.325295462	0.670470417
CS11-A-6-38_Seedling	0.002869396	4.52E-06	0.414338703	0.582787384
CS11-A-7-27_Seedling	0.063993432	0.023478582	0.725423087	0.187104898
CS11-A-7-28_Seedling	0.015874169	0.021293621	0.348323634	0.614508576
