	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_3C_Inoculated seed	Unknown
CS3-C-10-14_Seedling	0.041900503	0.031479241	0.590459793	0.336160463
CS3-C-10-20_Seedling	0.014455312	0.004777285	0.885155379	0.095612024
CS3-C-13-4_Seedling	0.030874735	0.010963533	0.918444376	0.039717355
CS3-C-2-21_Seedling	0.001650575	0.177541648	0.368021253	0.452786524
CS3-C-2-22_Seedling	0.039842266	0.014531118	0.668048554	0.277578062
CS3-C-2-25_Seedling	0.159305464	0.036480848	0.429540884	0.374672804
CS3-C-7-35_Seedling	0.163402937	0.128523574	0.48546867	0.22260482
CS3-C-7-37_Seedling	0.004783	0.005136674	0.972360713	0.017719613
