	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_8C_Inoculated seed	Unknown
CS8-C-1-11_Seedling	0.102838673	0.007125571	0.800700549	0.089335208
CS8-C-1-13_Seedling	6.50E-07	0.004264427	0.806411012	0.189323911
CS8-C-3-31_Seedling	0.01233908	0.002166809	0.653545707	0.331948405
CS8-C-3-34_Seedling	0.003843482	0.000733399	0.141342306	0.854080812
CS8-C-4-1_Seedling	0.027424137	0.004821578	0.746852789	0.220901495
CS8-C-4-8_Seedling	0.018703909	0.009155119	0.613722542	0.358418429
CS8-C-5-24_Seedling	0.007794146	0.002444874	0.350200376	0.639560604
CS8-C-5-28_Seedling	0.022937948	0.009715914	0.635498105	0.331848033
