SampleID	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_3A_Inoculated seed	Unknown
CS3-A-3-21_Seedling	0.001267065	0.752969549	2.34E-05	0.245740028
CS3-A-3-22_Seedling	0.0121011	0.827483361	0.085747515	0.074668024
CS3-A-3-23_Seedling	0.079653558	0.243383317	0.618497052	0.058466073
CS3-A-4-11_Seedling	0.222694212	0.226237553	0.388143652	0.162924584
CS3-A-4-12_Seedling	0.000308556	0.785235228	0.135587217	0.078868999
CS3-A-4-18_Seedling	0.003231011	0.208860961	0.725133194	0.062774833
CS3-A-5-10_Seedling	0.016118866	0.094203517	0.868936238	0.020741379
CS3-A-5-7_Seedling	0.006267845	0.804946557	0.094154905	0.094630692
