Sample_ID	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_8B_Inoculated seed	Unknown
CS8-B-1-10_Seedling	0.028911792	0.005631704	0.217166302	0.748290202
CS8-B-1-4_Seedling	0.079496503	0.02993609	0.356922213	0.533645193
CS8-B-1-6_Seedling	0.003227222	0.004693121	0.593063923	0.399015735
CS8-B-8-14_Seedling	0.021854928	0.096618024	0.211262309	0.670264739
CS8-B-8-18_Seedling	0.017200635	0.008673769	0.437004587	0.537121009
CS8-B-8-34_Seedling	0.063688214	0.069110166	0.5751483	0.292053321
CS8-B-8-36_Seedling	0.013427941	0.01388781	0.28580819	0.686876059
CS8-B-9-25_Seedling	0.004207401	0.001426877	0.473045967	0.521319755
