	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_11C_Inoculated seed	Unknown
CS11-C-11-16_Seedling	0.005207271	0.008408435	0.958160561	0.028223734
CS11-C-11-18_Seedling	0.001361856	0.023022864	0.961954716	0.013660564
CS11-C-11-19_Seedling	0.06114396	0.028256082	0.110307022	0.800292936
CS11-C-11-26_Seedling	0.000373727	0.01178743	0.973663635	0.014175208
CS11-C-13-31_Seedling	0.042763574	0.034007509	0.115106023	0.808122893
CS11-C-13-40_Seedling	0.038592825	0.016451971	0.89251783	0.052437374
CS11-C-7-1_Seedling	0.008741337	0.005066856	0.162363917	0.82382789
CS11-C-7-3_Seedling	0.000464222	0.029823516	0.920512518	0.049199744
