	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_5C_Inoculated seed	Unknown
CS5-C-1-31_Seedling	0.007077385	0.433323788	0.464202259	0.095396568
CS5-C-1-33_Seedling	0.095268898	0.184589067	0.609176521	0.110965514
CS5-C-1-36_Seedling	0.016103328	0.157953181	0.029666747	0.796276744
CS5-C-10-5_Seedling	0.23205677	0.038217028	0.409602754	0.320123447
CS5-C-10-7_Seedling	0.302823553	0.338386726	0.068952885	0.289836837
CS5-C-13-11_Seedling	0.065587641	0.689985927	0.125519037	0.118907395
CS5-C-13-20_Seedling	0.221332911	0.183334483	0.007367852	0.587964754
CS5-C-8-23_Seedling	0.089369903	0.432962591	0.015644419	0.462023087
