Sample_ID	Env	SourceSink	id
Potting_soil	Soil	Source	
Control_seed	Native seed	Source	
Inoculated_seed_11B	Inoculated seed	Source	
CS11-B-12-1	Seedling	Sink	1
CS11-B-12-10	Seedling	Sink	2
CS11-B-12-33	Seedling	Sink	3
CS11-B-12-5	Seedling	Sink	4
CS11-B-6-14	Seedling	Sink	5
CS11-B-6-16	Seedling	Sink	6
CS11-B-6-16b	Seedling	Sink	7
CS11-B-6-23	Seedling	Sink	8
CS11-B-6-25	Seedling	Sink	9
