Sample_ID	Env	SourceSink	id
Potting_soil	Soil	Source	
Control_seed	Native seed	Source	
Inoculated_seed_5A	Inoculated seed	Source	
CS5-A-10-31	Seedling	Sink	1
CS5-A-10-33	Seedling	Sink	2
CS5-A-10-35	Seedling	Sink	3
CS5-A-12-22	Seedling	Sink	4
CS5-A-12-29	Seedling	Sink	5
CS5-A-3-15	Seedling	Sink	6
CS5-A-3-17	Seedling	Sink	7
CS5-A-9-6	Seedling	Sink	8
