	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_3B_Inoculated seed	Unknown
CS3-B-1-26_Seedling	0.000937548	0.048812279	0.936493102	0.013757071
CS3-B-1-28_Seedling	0.099628903	0.034036672	0.794209011	0.072125415
CS3-B-12-15_Seedling	0.052667028	0.009512529	0.865541324	0.072279119
CS3-B-12-16_Seedling	0.00158624	0.004591045	0.986961321	0.006861395
CS3-B-2-3_Seedling	0.000895994	0.000682128	0.996030787	0.002391091
CS3-B-2-5_Seedling	0.09159791	0.004492661	0.863401953	0.040507475
CS3-B-5-36_Seedling	0.003195864	0.026123467	0.95708085	0.013599819
CS3-B-5-39_Seedling	0.1337552	0.017846754	0.712076682	0.136321364
