	Potting_soil_Soil	Control_seed_Native seed	Inoculated_seed_5B_Inoculated seed	Unknown
CS5-B-11-3_Seedling	0.004310589	0.020046924	0.961642589	0.013999899
CS5-B-11-6_Seedling	0.036314896	0.117548257	0.699054031	0.147082816
CS5-B-11-8_Seedling	0.003782526	0.056741532	0.926979078	0.012496864
CS5-B-4-22_Seedling	0.017628141	0.093087226	0.867756784	0.021527849
CS5-B-4-27_Seedling	0.066311491	0.038649658	0.830435549	0.064603301
CS5-B-4-39_Seedling	0.003584976	0.044191865	0.929248782	0.022974377
CS5-B-9-13_Seedling	0.155126973	0.05051131	0.72302561	0.071336106
CS5-B-9-15_Seedling	0.10763636	0.045748147	0.744653159	0.101962334
