REP_Bio;Concentration;Maceration;Desinfection;Inoc_fluid; Rep_tech ;Pop_sample;Log_CFU_sample
1;C5;Single_seed;Unsterilized;Water;3;4E+05;5.58883172559421
1;C5;Single_seed;Unsterilized;Water;4;2E+05;5.31806333496276
1;C5;Single_seed;Unsterilized;Water;5;8E+05;5.90308998699194
1;C5;Single_seed;Unsterilized;Water;6;1E+05;5.14612803567824
1;C5;Single_seed;Unsterilized;Water;7;3E+05;5.46538285144842
1;C5;Single_seed;Unsterilized;Water;8;3E+05;5.4345689040342
1;C5;Single_seed;Unsterilized;Water;9;3E+05;5.42813479402879
1;C5;Single_seed;Unsterilized;Water;10;2E+05;5.26481782300954
1;C5;Single_seed;Unsterilized;Water;11;2E+05;5.29225607135648
1;C5;Single_seed;Unsterilized;Water;12;2E+05;5.31806333496276
1;C5;Single_seed;Sterilized;Water;1;3E+05;5.40140054078154
1;C5;Single_seed;Sterilized;Water;2;2E+05;5.35024801833416
1;C5;Single_seed;Sterilized;Water;3;2E+05;5.34242268082221
1;C5;Single_seed;Sterilized;Water;4;4E+05;5.56110138364906
1;C5;Single_seed;Sterilized;Water;5;5E+05;5.68124123737559
1;C5;Single_seed;Sterilized;Water;6;3E+05;5.49415459401844
1;C5;Single_seed;Sterilized;Water;7;4E+05;5.64345267648619
1;C5;Single_seed;Sterilized;Water;8;7E+05;5.83250891270624
1;C5;Single_seed;Sterilized;Water;9;6E+05;5.77815125038364
1;C5;Single_seed;Sterilized;Water;10;2E+05;5.30102999566398
1;C5;Single_seed;Sterilized;Water;11;2E+06;6.2148438480477
1;C5;Single_seed;Sterilized;Water;12;8E+05;5.90308998699194
1;C6;Single_seed;Unsterilized;Water;1;8E+05;5.88081359228079
1;C6;Single_seed;Unsterilized;Water;2;6E+05;5.77815125038364
1;C6;Single_seed;Unsterilized;Water;3;6E+05;5.77815125038364
1;C6;Single_seed;Unsterilized;Water;4;1E+06;6.10720996964787
1;C6;Single_seed;Unsterilized;Water;5;1E+06;6.17026171539496
1;C6;Single_seed;Unsterilized;Water;6;1E+06;5.98227123303957
1;C6;Single_seed;Unsterilized;Water;7;7E+05;5.85733249643127
1;C6;Single_seed;Unsterilized;Water;8;2E+06;6.32633586092875
1;C6;Single_seed;Unsterilized;Water;9;2E+06;6.27415784926368
1;C6;Single_seed;Unsterilized;Water;10;8E+05;5.88081359228079
1;C6;Single_seed;Unsterilized;Water;11;5E+05;5.68124123737559
1;C6;Single_seed;Unsterilized;Water;12;1E+05;5.10720996964787
1;C6;Single_seed;Unsterilized;Alginate;1;1E+06;6.06445798922692
1;C6;Single_seed;Unsterilized;Alginate;2;1E+06;6.01703333929878
1;C6;Single_seed;Unsterilized;Alginate;3;2E+06;6.28330122870355
1;C6;Single_seed;Unsterilized;Alginate;4;2E+06;6.20411998265593
1;C6;Single_seed;Unsterilized;Alginate;5;1E+06;5.98227123303957
1;C6;Single_seed;Unsterilized;Alginate;6;2E+06;6.20411998265593
1;C6;Single_seed;Unsterilized;Alginate;7;4E+06;6.56110138364906
1;C6;Single_seed;Unsterilized;Alginate;8;2E+06;6.24551266781415
1;C6;Single_seed;Unsterilized;Alginate;9;1E+06;6.07918124604763
1;C6;Single_seed;Unsterilized;Alginate;10;2E+06;6.29225607135648
1;C6;Single_seed;Unsterilized;Alginate;11;3E+06;6.46538285144842
1;C6;Single_seed;Unsterilized;Alginate;12;2E+06;6.37291200297011
1;C6;Single_seed;Sterilized;Water;1;1E+06;6.09342168516223
1;C6;Single_seed;Sterilized;Water;2;9E+05;5.96378782734556
1;C6;Single_seed;Sterilized;Water;3;9E+06;6.95616843047536
1;C6;Single_seed;Sterilized;Water;4;1E+06;6.01703333929878
1;C6;Single_seed;Sterilized;Water;5;6E+05;5.7481880270062
1;C6;Single_seed;Sterilized;Water;6;5E+05;5.68124123737559
1;C6;Single_seed;Sterilized;Water;7;2E+05;5.39445168082622
1;C6;Single_seed;Sterilized;Water;8;4E+05;5.64345267648619
1;C6;Single_seed;Sterilized;Water;9;8E+05;5.90308998699194
1;C6;Single_seed;Sterilized;Water;10;2E+06;6.22530928172586
1;C6;Single_seed;Sterilized;Water;11;2E+06;6.28330122870355
1;C6;Single_seed;Sterilized;Water;12;9E+05;5.96378782734556
1;C6;Single_seed;Sterilized;Alginate;1;2E+06;6.37291200297011
1;C6;Single_seed;Sterilized;Alginate;2;1E+06;6.17026171539496
1;C6;Single_seed;Sterilized;Alginate;3;1E+06;6.0
1;C6;Single_seed;Sterilized;Alginate;4;3E+06;6.47712125471966
1;C6;Single_seed;Sterilized;Alginate;5;8E+05;5.92427928606188
1;C6;Single_seed;Sterilized;Alginate;6;1E+06;6.09342168516223
1;C6;Single_seed;Sterilized;Alginate;7;2E+06;6.33445375115093
1;C6;Single_seed;Sterilized;Alginate;8;2E+06;6.27415784926368
1;C6;Single_seed;Sterilized;Alginate;9;2E+06;6.20411998265593
1;C6;Single_seed;Sterilized;Alginate;10;1E+06;6.17026171539496
1;C6;Single_seed;Sterilized;Alginate;11;9E+05;5.94448267215017
1;C6;Single_seed;Sterilized;Alginate;12;1E+06;6.14612803567824
1;C7;Single_seed;Unsterilized;Water;1;4E+06;6.58433122436753
1;C7;Single_seed;Unsterilized;Water;2;3E+06;6.44715803134222
1;C7;Single_seed;Unsterilized;Water;3;4E+06;6.5705429398819
1;C7;Single_seed;Unsterilized;Water;4;5E+06;6.67760695272049
1;C7;Single_seed;Unsterilized;Water;5;6E+06;6.79518458968242
1;C7;Single_seed;Unsterilized;Water;6;5E+06;6.72263392253381
1;C7;Single_seed;Unsterilized;Water;7;5E+06;6.6954816764902
1;C7;Single_seed;Unsterilized;Water;8;9E+06;6.95230800966212
1;C7;Single_seed;Unsterilized;Water;9;3E+06;6.51587384371168
1;C7;Single_seed;Unsterilized;Water;10;5E+06;6.73559889969818
1;C7;Single_seed;Unsterilized;Water;11;5E+06;6.71933128698373
1;C7;Single_seed;Unsterilized;Water;12;5E+06;6.66275783168157
1;C7;Single_seed;Sterilized;Water;1;5E+06;6.66651798055488
1;C7;Single_seed;Sterilized;Water;2;5E+06;6.69897000433602
1;C7;Single_seed;Sterilized;Water;3;7E+06;6.85247999363686
1;C7;Single_seed;Sterilized;Water;4;8E+06;6.90955602924118
1;C7;Single_seed;Sterilized;Water;5;4E+06;6.65127801399814
1;C7;Single_seed;Sterilized;Water;6;4E+06;6.62736585659273
1;C7;Single_seed;Sterilized;Water;7;3E+06;6.41497334797082
1;C7;Single_seed;Sterilized;Water;8;4E+06;6.63948648926859
1;C7;Single_seed;Sterilized;Water;9;5E+06;6.68841982200271
1;C7;Single_seed;Sterilized;Water;10;5E+06;6.72591163229505
1;C7;Single_seed;Sterilized;Water;11;7E+06;6.82736927305382
1;C7;Single_seed;Sterilized;Water;12;6E+06;6.79239168949825
2;C0;Single_seed;Unsterilized;Water;1;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;2;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;3;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;4;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;5;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;6;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;7;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;8;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;9;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;10;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;11;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Water;12;1E+02;2.07918124604762
2;C0;Single_seed;Unsterilized;Alginate;1;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;2;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;3;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;4;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;5;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;6;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;7;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;8;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;9;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;10;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;11;2E+01;1.30102999566398
2;C0;Single_seed;Unsterilized;Alginate;12;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;1;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;2;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;3;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;4;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;5;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;6;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;7;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;8;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;9;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;10;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;11;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Water;12;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;1;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;2;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;3;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;4;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;5;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;6;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;7;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;8;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;9;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;10;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;11;2E+01;1.30102999566398
2;C0;Single_seed;Sterilized;Alginate;12;2E+01;1.30102999566398
2;C5;Single_seed;Unsterilized;Water;1;1E+05;5.17026171539496
2;C5;Single_seed;Unsterilized;Water;2;2E+06;6.25527250510331
2;C5;Single_seed;Unsterilized;Water;3;5E+05;5.67760695272049
2;C5;Single_seed;Unsterilized;Water;4;2E+04;4.35024801833416
2;C5;Single_seed;Unsterilized;Water;5;7E+05;5.83250891270624
2;C5;Single_seed;Unsterilized;Water;6;2E+05;5.2148438480477
2;C5;Single_seed;Unsterilized;Water;7;2E+04;4.33445375115093
2;C5;Single_seed;Unsterilized;Water;8;3E+04;4.51054501020661
2;C5;Single_seed;Unsterilized;Water;9;3E+05;5.42813479402879
2;C5;Single_seed;Unsterilized;Water;10;3E+05;5.48855071650044
2;C5;Single_seed;Unsterilized;Water;11;2E+05;5.3654879848909
2;C5;Single_seed;Unsterilized;Water;12;2E+05;5.22530928172586
2;C5;Single_seed;Sterilized;Water;1;3E+06;6.40140054078154
2;C5;Single_seed;Sterilized;Water;2;4E+05;5.58433122436753
2;C5;Single_seed;Sterilized;Water;3;8E+05;5.92427928606188
2;C5;Single_seed;Sterilized;Water;4;1E+06;6.10720996964787
2;C5;Single_seed;Sterilized;Water;5;1E+05;5.03342375548695
2;C5;Single_seed;Sterilized;Water;6;1E+06;6.01703333929878
2;C5;Single_seed;Sterilized;Water;7;3E+06;6.42160392686983
2;C5;Single_seed;Sterilized;Water;8;3E+05;5.45331834004704
2;C5;Single_seed;Sterilized;Water;9;2E+06;6.22530928172586
2;C5;Single_seed;Sterilized;Water;10;6E+05;5.75739602879302
2;C5;Single_seed;Sterilized;Water;11;4E+05;5.64738297011462
2;C5;Single_seed;Sterilized;Water;12;2E+05;5.25527250510331
2;C6;Single_seed;Unsterilized;Water;1;4E+06;6.58433122436753
2;C6;Single_seed;Unsterilized;Water;2;2E+06;6.2148438480477
2;C6;Single_seed;Unsterilized;Water;3;2E+06;6.39445168082622
2;C6;Single_seed;Unsterilized;Water;4;4E+06;6.58883172559421
2;C6;Single_seed;Unsterilized;Water;5;6E+06;6.77815125038364
2;C6;Single_seed;Unsterilized;Water;6;5E+06;6.6954816764902
